Name,Description,Ocupation Wikidata Ids
ROB LOWE,actor,"television actor|""film actor""|""actor""|"
ROBERT KNEPPER,actor,"television actor|""film actor""|""actor""|"
EMILE HIRSCH,actor,"television actor|""film actor""|""actor""|"
ERIC MABIUS,actor,"television actor|""film actor""|""actor""|"
JOHN FORSYTHE,actor,"television actor|""film actor""|""actor""|"
LARA FLYNN BOYLE,actor,"television actor|""film actor""|""actor""|"
TOM EVERETT SCOTT,actor,"television actor|""film actor""|""actor""|"
DICK LATESSA,Actor,"television actor|""film actor""|""actor""|"
LESLIE NIELSEN,actor,"television actor|""film actor""|""actor""|""film producer""|"
THEODORE BIKEL,Actor,"television actor|""film actor""|""actor""|""businessperson""|"
JENNIFER GARNER,Actor,"television actor|""actor""|""film producer""|""film director""|"
BETTY HUTTON,Actor,"film actor|""singer""|""actor""|"
PAUL SORVINO,Actor,"film actor|""film director""|""actor""|"
CHARLES BOYER,Actor,"film actor|""actor""|"
LINO VENTURA,actor,"film actor|""actor""|"
LUKE WILSON,actor,"film actor|""actor""|""director""|"
PHILIPPE NOIRET,actor,"film actor|""actor""|""cabaret artist""|"
BRENDAN FRASER,actor,"film actor|""actor""|""voice actor""|"
MICHAEL CLARKE DUNCAN,Actor,"film actor|""actor""|""voice actor""|"
W. C. FIELDS,Actor,"film actor|""actor""|""screenwriter""|""cabaret artist""|"
JUSTIN THEROUX,actor,"film actor|""actor""|""film producer""|""film director""|""screenwriter""|"
GARY BEACH,actor,singer|
JUSTINE CLARKE,actor,singer|
JOHN CULLUM,Actor,"screenwriter|""television actor""|""film actor""|""film director""|""singer""|""actor""|"
LONNY PRICE,Actor,"screenwriter|""playwright""|""film producer""|""television actor""|""film actor""|""theatre director""|""film director""|""actor""|"
ANDREW MCCARTHY,actor,"screenwriter|""film producer""|""television actor""|""film actor""|""film director""|""actor""|"
CRYSTAL LOWE,actor,actor|
STEPHEN LANG,actor,actor|
CARLOS BERNARD,actor,actor|
PETER SARSGAARD,actor,actor|
GERALD MCRANEY,actor,actor|
VICTOR MATURE,Actor,actor|
MAE CLARKE,Actor,actor|
PATRICK MACNEE,Actor,actor|
CAMERON BRIGHT,Actor,actor|
MARTIN HENDERSON,Actor,actor|
KEIR DULLEA,Actor,actor|
PAUL LYNDE,actor,actor|
BERNARD BLANCAN,actor,actor|
BEN SHOCKLEY,actor,actor|
BRENNAN ELLIOTT,Actor,actor|
DONNA LYNNE CHAMPLIN,Actor,actor|
PHYLLIS BARRY,Actor,actor|
PAUL KREPPEL,Actor,actor|
RONALD COLMAN,Actor,actor|
FREDRIC MARCH,actor,actor|
CLIFF ROBERTSON,Actor,actor|
PAUL LUKAS,Actor,actor|
ROD STEIGER,Actor,actor|
RANDOLPH SCOTT,Actor,actor|
SAMY NACERI,actor,actor|
LEE J. COBB,actor,actor|
DENNIS HAYSBERT,Actor,actor|
MICHAEL URIE,actor,actor|
KUNO BECKER,actor,actor|
RON ELDARD,actor,actor|
ROB ESTES,actor,actor|
MICHAEL FISHMAN,Actor,actor|
STEVE BYERS,actor,actor|
LAIRD CREGAR,actor,actor|
JEFFREY NORDLING,Actor,actor|
KRISTY WU,actor,actor|
GIDEON GLICK,actor,actor|
GREGG EDELMAN,Actor,actor|
MIKEY DAY,Actor,actor|
ERROL FLYNN,actor,actor|
BRODERICK CRAWFORD,Actor,actor|
BRANDON ROUTH,actor,actor|
DONALD FAISON,actor,actor|
MATTHEW MODINE,actor,actor|
OLIVER PLATT,actor,actor|
ANDREW KNOTT,actor,actor|
DONAL LOGUE,Actor,actor|
COLE HAUSER,actor,actor|
HARRY HAMLIN,Actor,actor|
PHIL SILVERS,Actor,actor|
MATT CAVENAUGH,actor,actor|
BRANDON RUCKDASHEL,Actor,actor|
DANIEL ERIC GOLD,actor,actor|
HELEN STENBORG,Actor,actor|
BRUCE ADLER,Actor,actor|
GORDON JUMP,actor,actor|
DOMINIC PURCELL,Actor,actor|
SOPHIA BUSH,actor,actor|
CAROL KANE,actor,actor|
TONY RANDALL,actor,actor|
SAM ELLIOTT,Actor,actor|
RAYMOND BURR,Actor,actor|
JEFFREY DEAN MORGAN,Actor,actor|
WILLIAM DEVANE,Actor,actor|
JAY HERNANDEZ,actor,actor|
ROGER BART,Actor,actor|
SEYMOUR CASSEL,Actor,actor|
DENNIS PRICE,Actor,actor|
ALEX ROCCO,Actor,actor|
DARREN MCGAVIN,Actor,actor|
ALFRED LUNT,Actor,actor|
JACK SCALIA,Actor,actor|
LOUISA KRAUSE,actor,actor|
MATT NEWTON,actor,actor|
RICHARD DORMER,actor,actor|
MICHELLE TRACHTENBERG,actor,"actor|""television actor""|"
DAN HEDAYA,Actor,"actor|""television actor""|""film actor""|"
HARRIS YULIN,Actor,"actor|""television actor""|""film actor""|"
JEREMY PIVEN,actor,"actor|""television actor""|""film actor""|"
MATT DALLAS,actor,"actor|""television actor""|""film actor""|"
MAXWELL CAULFIELD,Actor,"actor|""television actor""|""film actor""|""voice actor""|"
RON PERLMAN,actor,"actor|""television actor""|""film actor""|""voice actor""|"
MACAULAY CULKIN,actor,"actor|""film actor""|""voice actor""|"
DAVID CARUSO,Actor,"actor|""entrepreneur""|"
CODY LINLEY,actor,"actor|""singer""|"
LEN CARIOU,Actor,"actor|""singer""|"
STEVEN PASQUALE,Actor,"actor|""singer""|"
STERLING HAYDEN,actor,"actor|""officer""|""novelist""|""autobiographer""|"
MICHAEL CHIKLIS,Actor,"actor|""voice actor""|"
WILL ARNETT,actor,"actor|""voice actor""|"
RODDY MCDOWALL,actor,"actor|""voice actor""|""film director""|"
JAMES DARREN,Actor,"actor|""film director""|""singer""|""musician""|"
TODD BRIDGES,actor,"actor|""film director""|""film producer""|"
RAINN WILSON,actor,"actor|""film director""|""writer""|""blogger""|"
ROBERT WUHL,actor,"actor|""screenwriter""|"
CHRISTOPHER DENHAM,Actor,"actor|""screenwriter""|""film director""|""film producer""|"
DAX SHEPARD,actor,"actor|""screenwriter""|""film director""|""film editor""|"
MARLON WAYANS,actor,"actor|""screenwriter""|""film producer""|""film director""|""voice actor""|"
LEIGH WHANNELL,actor,"actor|""screenwriter""|""writer""|""director""|"
CASEY AFFLECK,Actor,"actor|""film producer""|"
TOM HULCE,actor,"actor|""film producer""|""singer""|""voice actor""|"
CLARKE PETERS,Actor,"actor|""writer""|""singer""|"
KATE CAPSHAW,actor,"actor|""model""|""teacher""|"
ISLA FISHER,actor,"actor|""author""|""writer""|"
HATTIE MCDANIEL,actor,"actor|""singer-songwriter""|""composer""|""musician""|"
ELIZABETH PARKINSON,Actor,"actor|""dancer""|"
RORY COCHRANE,Actor,"actor|""songwriter""|"
WENDELL COREY,actor,"actor|""politician""|"
VINCE COLOSIMO,actor and cafe owner,
TIMOTHY HUTTON,actor and director from the United States,"actor|""film director""|"
GEORGE CLOONEY,actor and director from the United States,"actor|""film producer""|""television actor""|""film actor""|""film director""|""screenwriter""|""writer""|""voice actor""|"
KENNETH BRANAGH,actor and film director from Northern Ireland,"film actor|""film director""|""actor""|""screenwriter""|"
ROBERT REDFORD,actor and film director from the United States,"film actor|""film director""|""actor""|""film producer""|""businessperson""|"
BUSTER KEATON,Actor and filmmaker,"film actor|""film director""|""actor""|"
JOSH HARTNETT,actor and producer,"television actor|""film actor""|""actor""|""film producer""|"
STEPHEN BALDWIN,actor and producer from the United States,"actor|""film producer""|""film actor""|""film director""|"
ALAN ALDA,Actor and United States Army officer,"actor|""television actor""|""film actor""|""film director""|""screenwriter""|""writer""|"
STEPHEN TOBOLOWSKY,Actor and writer,"actor|""television actor""|""film actor""|""film director""|""screenwriter""|""author""|""writer""|"
JOHN CLEESE,actor from England,"actor|""television actor""|""film actor""|""comedian""|""voice actor""|""screenwriter""|""writer""|""film producer""|""autobiographer""|"
FRITZ WEAVER,actor from the United States,"television actor|""film actor""|""actor""|"
GREGORY ITZIN,actor from the United States,"television actor|""film actor""|""actor""|"
TOBEY MAGUIRE,actor from the United States,"film actor|""actor""|""film producer""|"
JANE CURTIN,actor from the United States,actor|
MARG HELGENBERGER,actor from the United States,actor|
ASHTON KUTCHER,actor from the United States,"actor|""television actor""|""film actor""|""television presenter""|""financier""|"
EDWARD G. ROBINSON,actor from the United States,"actor|""film actor""|""art collector""|"
NICOLAS CAGE,actor from the United States,"actor|""film actor""|""film director""|""film producer""|""voice actor""|"
RICHARD GERE,actor from the United States,"actor|""film actor""|""film producer""|""film director""|""human rights activist""|"
TOM CRUISE,actor from the United States,"actor|""film actor""|""film producer""|""writer""|""director""|"
MELANIE GRIFFITH,actor from the United States,"actor|""film actor""|""blogger""|"
ADAM BALDWIN,actor from the United States,"actor|""dub actor""|""voice actor""|"
HARVEY FIERSTEIN,actor from the United States,"actor|""singer""|""author""|""playwright""|""voice actor""|""writer""|"
JON LOVITZ,actor from the United States,"actor|""singer""|""no English label""|"
TONY SHALHOUB,actor from the United States,"actor|""film director""|""voice actor""|"
CHRIS WEDGE,actor from the United States,"actor|""film director""|""film producer""|""screenwriter""|""animator""|"
ROB CORDDRY,actor from the United States,"actor|""screenwriter""|"
JIMMY DURANTE,actor from the United States,"actor|""pianist""|"
ASHLEY OLSEN,actor from USA,"television actor|""film actor""|""actor""|"
TONY HALE,actor; Comedian,"television actor|""film actor""|""actor""|""comedian""|"
HAL SPARKS,actor; comedian; musician,"actor|""musician""|"
FRITZ KORTNER,Actor; theatre director,actor|
JOHN AMOS,Actor| athlete,"actor|""television actor""|""film actor""|"
ERLAND JOSEPHSON,Actor| author,"actor|""author""|""film director""|"
CHRISTOPHER LAWFORD,Actor| author| activist,"actor|""television actor""|""film actor""|""film producer""|"
JULIA SWEENEY,actor| author| comedian,"television actor|""actor""|""blogger""|"
JACK PALANCE,Actor| boxer,"film actor|""actor""|"
DAVID HEMMINGS,actor| boy soprano| film director| film producer| screenwriter,"actor|""film director""|""film producer""|""screenwriter""|""singer-songwriter""|""opera singer""|""autobiographer""|"
CRIS JUDD,actor| choreographer,"actor|""choreographer""|"
HORATIO SANZ,actor| comedian,actor|
CHRIS FARLEY,actor| comedian,actor|
FRED WILLARD,Actor| comedian,actor|
TIM MEADOWS,actor| comedian,actor|
DON KNOTTS,actor| comedian,"actor|""television actor""|"
KENNETH WILLIAMS,actor| comedian,"actor|""comedian""|""author""|"
ROB SCHNEIDER,actor| comedian| director| screenwriter,"television actor|""film actor""|""actor""|""author""|""screenwriter""|"
BEN STILLER,actor| Comedian| director| writer,"screenwriter|""film producer""|""actor""|""television actor""|""film actor""|""film director""|""voice actor""|""writer""|"
DREW CAREY,Actor| comedian| game show host| libertarian,"actor|""singer""|""photographer""|""screenwriter""|"
JASON ALEXANDER,actor| comedian| singer,"actor|""television actor""|""film actor""|""singer""|""film director""|""film producer""|""magician""|"
BRAD GARRETT,Actor| comedian| voice actor,"television actor|""actor""|""film actor""|""voice actor""|""poker player""|"
JAMES CAGNEY,Actor| dancer,"actor|""film actor""|"
TIM DEKAY,actor| director,actor|
TYRONE GUTHRIE,actor| director,actor|
CHARLES S. DUTTON,Actor| director,"actor|""film director""|"
GRIFFIN DUNNE,actor| director,"actor|""film director""|""film producer""|""screenwriter""|"
COLIN FERGUSON,Actor| director and producer,"actor|""film director""|"
ADAM SHANKMAN,actor| director| Choreographer| Dancer,"actor|""film director""|""film producer""|""choreographer""|"
BURT REYNOLDS,actor| director| football player,actor|
SEAN ASTIN,actor| director| producer,"actor|""film director""|""film producer""|""voice actor""|"
ADRIAN GRENIER,actor| director| producer| musician,"film producer|""television actor""|""film actor""|""film director""|""actor""|"
CHRISTOPHER REEVE,actor| director| Producer| Screenwriter,"television actor|""film actor""|""film director""|""actor""|""film producer""|""playwright""|"
JOHN CASSAVETES,actor| director| Producer| Screenwriter| Editor,"film actor|""film director""|""screenwriter""|""actor""|""film producer""|""writer""|"
LIONEL BARRYMORE,Actor| director| screenwriter,"actor|""film director""|""composer""|""musician""|"
GARRY MARSHALL,Actor| director| writer| producer,"film producer|""film director""|""actor""|""screenwriter""|""author""|""voice actor""|"
SPALDING GRAY,Actor| dramatist| playwright| screenwriter,"actor|""novelist""|""autobiographer""|""screenwriter""|""writer""|"
RICHARD BENJAMIN,Actor| film director,"film director|""actor""|"
ERIC SCHAEFFER,Actor| film director| screenwriter,"actor|""film producer""|""film director""|""author""|"
NICK NOLTE,Actor| film producer,"film actor|""actor""|""film producer""|""model""|"
DON CHEADLE,Actor| film producer| philanthropist| and author,"actor|""film director""|""poker player""|""film producer""|""writer""|"
TIM HERLIHY,Actor| Film producer| Writer,
LAURA HARRING,actor| Miss USA 1985,"actor|""television actor""|""film actor""|"
JOE DALLESANDRO,Actor| model,actor|
ALEX PETTYFER,actor| model,actor|
BRUCE GREENWOOD,Actor| musician,"television actor|""film actor""|""actor""|""voice actor""|"
BALTHAZAR GETTY,actor| musician,"actor|""film producer""|"
DAN FOGLER,Actor| musician and filmmaker,"actor|""screenwriter""|"
ERIC BOGOSIAN,actor| playwright| monologist| novelist,"actor|""screenwriter""|""author""|"
RAY ARANHA,Actor| playwright| theater director,actor|
BRIAN ROBBINS,actor| producer| director,"film director|""film producer""|""actor""|"
DAVID SCHWIMMER,actor| producer| director,"actor|""television actor""|""film actor""|""film director""|""film producer""|""voice actor""|"
JOHN TRUSCOTT,Actor| Production designer| Costume designer,actor|
NIKKI REED,Actor| screenwriter,"television actor|""film actor""|""actor""|""screenwriter""|""film producer""|"
DAN FUTTERMAN,Actor| screenwriter,"actor|""screenwriter""|""writer""|"
DENZEL WASHINGTON,actor| screenwriter| director| producer,"actor|""film director""|""film producer""|""basketball player""|""film actor""|"
GARY OLDMAN,actor| screenwriter| director| producer| musician,"film actor|""actor""|""film producer""|""voice actor""|""screenwriter""|""film director""|"
JOHN DOSSETT,actor| singer,"television actor|""film actor""|"
NORBERT LEO BUTZ,actor| singer,actor|
WALTER HUSTON,Actor| singer,actor|
SHULER HENSLEY,Actor| singer,actor|
DAVID HASKELL,Actor| singer,"actor|""singer""|"
JADA PINKETT SMITH,actor| singer,"actor|""singer-songwriter""|""singer""|""composer""|""film producer""|""songwriter""|""film director""|""writer""|""businessperson""|""voice actor""|""musician""|"
CLIFTON WEBB,actor| singer| dancer,"actor|""dancer""|"
EDDIE CANTOR,Actor| singer| dancer and comedian,"actor|""singer""|""screenwriter""|""songwriter""|""autobiographer""|""dancer""|"
ALAN THICKE,actor| songwriter| game show host,"television actor|""actor""|""songwriter""|""composer""|"
BERT LAHR,Actor| vaudevillian,"actor|""film actor""|"
MAX VON ESSEN,Actor| vocalist,singer|
CHAZZ PALMINTERI,Actor| writer,"actor|""film director""|""author""|"
SCOTT ADSIT,Actor| writer| comedian,"actor|""screenwriter""|""writer""|"
BEN STEIN,Actor| writer| commentator| lawyer| teacher| humorist,"actor|""television presenter""|""lawyer""|""author""|""writer""|"
JON CRYER,actor| writer| film director| film producer,"actor|""writer""|""screenwriter""|"
ANDY MILONAKIS,Actor| writer| rapper| and comedian,"television actor|""actor""|"
SHULI RAND,actor| writer| singer,"actor|""singer""|"
ANJELICA HUSTON,actress,"television actor|""film actor""|""film director""|""actor""|""voice actor""|"
BECKI NEWTON,actress,"television actor|""film actor""|""actor""|"
JANE KACZMAREK,Actress,"television actor|""film actor""|""actor""|"
LOUISE FLETCHER,Actress,"television actor|""film actor""|""actor""|"
JANE WYMAN,actress,"television actor|""film actor""|""actor""|"
NICOLLETTE SHERIDAN,actress,"television actor|""film actor""|""actor""|"
SELA WARD,Actress,"television actor|""film actor""|""actor""|""model""|""autobiographer""|"
MARISKA HARGITAY,actress,"television actor|""actor""|"
PENNY JOHNSON JERALD,Actress,"television actor|""actor""|"
PATTY DUKE,Actress,"television actor|""actor""|""film actor""|""singer""|""politician""|"
GEENA DAVIS,actress,"film actor|""film producer""|""actor""|""writer""|""sportsperson""|"
MARGARET SULLAVAN,Actress,"film actor|""actor""|"
MAGGIE GYLLENHAAL,actress,"film actor|""actor""|"
KATHLEEN TURNER,actress,"film actor|""actor""|"
DARYL HANNAH,actress,"film actor|""actor""|""model""|"
CYBILL SHEPHERD,actress,"singer|""actor""|""beauty pageant contestant""|""autobiographer""|"
BO DEREK,actress,"film producer|""film actor""|""actor""|""model""|""autobiographer""|"
JULIE WALTERS,actress,actor|
CHRISTINE BARANSKI,actress,actor|
PATRICIA CLARKSON,actress,actor|
TERESA WRIGHT,actress,actor|
ASHLEY JENSEN,actress,actor|
LEAH REMINI,actress,actor|
JULIANNE NICHOLSON,actress,actor|
DELTA BURKE,actress,actor|
OLGA KNIPPER,actress,actor|
VIRGINIA FOX,Actress,actor|
JODELLE FERLAND,Actress,actor|
FAYE DUNAWAY,Actress,actor|
LORRAINE BRACCO,actress,actor|
SHOHREH AGHDASHLOO,actress,actor|
SARAH CARTER,actress,actor|
JENNA FISCHER,actress,actor|
LESLIE HOPE,Actress,actor|
SANDY DENNIS,actress,actor|
EILEEN HECKART,Actress,actor|
LYNN FONTANNE,Actress,actor|
EVE ARDEN,actress,actor|
JOANNE KELLY,actress,actor|
LINDA THORSON,Actress,actor|
MOLLY PARKER,actress,actor|
PHYLLIS SOMERVILLE,actress,actor|
KATE BEAHAN,Actress,actor|
LAURA SMET,Actress,actor|
CORINNE CALVET,Actress,actor|
JACKIE HOFFMAN,actress,actor|
RACHEL GRIFFITHS,actress,actor|
ETHEL BARRYMORE,Actress,actor|
GRACE ZABRISKIE,Actress,actor|
JEANNE EAGELS,actress,actor|
ALLIE GRANT,Actress,actor|
MARY STEENBURGEN,actress,actor|
JENNIFER BEALS,actress,actor|
ELLEN BURSTYN,Actress,actor|
ELIZABETH PERKINS,Actress,actor|
MARGOT KIDDER,Actress,actor|
HARRIET ANDERSSON,Actress,actor|
TRAYLOR HOWARD,actress,actor|
KRISTY SWANSON,Actress,actor|
MARY CLARE,Actress,actor|
JAN MAXWELL,Actress,actor|
HAZELLE GOODMAN,Actress,actor|
JOAN ALLEN,actress,"actor|""television actor""|""film actor""|"
TALLULAH BANKHEAD,actress,"actor|""television actor""|""film actor""|""autobiographer""|"
MELINA KANAKAREDES,actress,"actor|""television actor""|""film actor""|""screenwriter""|"
BEBE NEUWIRTH,Actress,"actor|""television actor""|""film actor""|""ballet dancer""|""dancer""|""singer""|"
CYNTHIA NIXON,actress,"actor|""television actor""|""film actor""|""child actor""|"
LACEY CHABERT,Actress,"actor|""film actor""|"
JEAN ARTHUR,Actress,"actor|""film actor""|"
GREER GARSON,Actress,"actor|""film actor""|"
GINA GERSHON,actress,"actor|""film actor""|""singer""|""television actor""|"
JOAN FONTAINE,Actress,"actor|""film actor""|""writer""|"
SHELLEY WINTERS,Actress,"actor|""film actor""|""writer""|""autobiographer""|"
LESLIE CARON,actress,"actor|""film actor""|""dancer""|"
JENNIFER TILLY,Actress,"actor|""poker player""|""voice actor""|"
DIXIE CARTER,actress,"actor|""singer""|"
